Style,Color,Collection,Optical,SKU,Male,Female,Active
Griffin,Invisible,Invisible Children,Sun,Griffin-1100,0,0,0
Aldous,Cedar Tortoise,Spring 2012 Collection,Sun,Aldous-310,1,1,1
Aldous,Revolver Black Matte,Spring 2012 Collection,Sun,Aldous-101,1,1,1
Jules,Cedar Tortoise,Spring 2012 Collection,Sun,Jules-310,0,1,1
Jules,Striped Evergreen,Spring 2012 Collection,Sun,Jules-231,0,1,1
Thatcher,Cedar Tortoise,Spring 2012 Collection,Sun,Thatcher-310,1,1,1
Ainsworth,Striped Chestnut,Summer 2012 Collection,Sun,Ainsworth-230,0,0,0
Holt,Blue Slate Fade,Summer 2012 Collection,Sun,Holt-353,0,0,0
Percey,Charcoal Fade,Summer 2012 Collection,Sun,Percey-133,0,0,0
Percey,Striped Sassafras,Summer 2012 Collection,Sun,Percey-256,0,0,0
Beckett,Aqua Tonic with Black Temple,Summer Crystals,Sun,Beckett-551,0,0,0
Ellery,Gimlet Tortoise,Summer Crystals,Sun,Ellery-235,0,0,0
Ellery,Tidal Blue,Summer Crystals,Sun,Ellery-530,0,1,1
Everett,Bellini with Earl Grey Temple,Summer Crystals,Sun,Everett-541,1,1,1
Preston,Bellini,Summer Crystals,Sun,Preston-540,0,0,0
Rafferty,Aqua Tonic,Summer Crystals,Sun,Rafferty-550,0,0,0
Rafferty,Revolver Black,Summer Crystals,Sun,Rafferty-100,1,1,1
Trilliny,Bellini,Summer Crystals,Sun,Trilliny-540,0,0,0
Trilliny,Whiskey Tortoise,Summer Crystals,Sun,Trilliny-200,0,1,1
Crawford,Geo Lanyard,SUNO,Sun,Crawford-901,0,0,0
Crawford,Roses,SUNO,Sun,Crawford-903,0,0,0
Crawford,Stained Glass,SUNO,Sun,Crawford-902,0,0,0
Thatcher,Geo Lanyard,SUNO,Sun,Thatcher-901,0,0,0
Thatcher,Roses,SUNO,Sun,Thatcher-903,0,0,0
Thatcher,Stained Glass,SUNO,Sun,Thatcher-902,0,0,0
Wendel,Geo Lanyard,SUNO,Sun,Wendel-901,0,0,0
Wendel,Roses,SUNO,Sun,Wendel-903,0,0,0
Wendel,Stained Glass,SUNO,Sun,Wendel-902,0,0,0
Appleton,Brushed Gold,Titanium Collection,Sun,Appleton-2401,0,1,1
Appleton,Brushed Platinum ,Titanium Collection,Sun,Appleton-2301,0,1,1
Cromwell,Brushed Sterling,Titanium Collection,Sun,Cromwell-2303,1,1,1
Cromwell,Obsidian ,Titanium Collection,Sun,Cromwell-2300,1,1,1
Rutherford,Brushed Granite ,Titanium Collection,Sun,Rutherford-2151,1,0,1
Rutherford,Brushed Opal,Titanium Collection,Sun,Rutherford-2501,1,0,1
Welles,Brushed Ink,Titanium Collection,Sun,Welles-2101,0,0,0
Welles,Brushed Silver,Titanium Collection,Sun,Welles-2305,1,1,1
Beckett,Revolver Black Matte,RX Sun Launch Collection,Sun,Beckett-101,1,1,1
Beckett,Striped Chestnut,RX Sun Launch Collection,Sun,Beckett-230,1,1,1
Beckett,Striped Evergreen,RX Sun Launch Collection,Sun,Beckett-231,1,1,1
